FaultName,FaultID,State,SiteName,CPDId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM6ObjectName,DataType,Observation,PrefRate,LowRate,HighRate,RateUncr,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,Reference
158,Hat Creek,112,CA,Hat Creek basalt,S-0158,SR-0104,-121.451847211000,40.923950144000,490.67,N/A,slip rate study,56 m of throw (maximum) within Hat Creek basalt dated at 24 +/- 6 ka,2.3,1.8,3.1,unknown,unprojected (vertical),reinterpreted given the uncertainty bounds (reported rates appear to be incorrect based on reported errors of measurements); pref = 56m/24ka; low = 56 m/30ka; high = 56m/18 ka,Hat Creek basalt offsets,Ar/Ar (age comes from Turrin et al 2007),unknown,24 +/- 6,0.2,1,Blakeslee and Kattenhorn (2013) Geosphere; Turrin et al (2007) Quaternary Research
159,Hayward (north),902,CA,Strawberry Creek,S-0159,SR-0422,-122.249769089000,37.872437432200,196.73,N/A,slip rate study,"Reported rate is 2 sigma. Rate reported by Williams (1998), subsequent work by Williams has not improved this slip rate estimate significantly (Williams, written communication, 2012) and a manuscript is in preparation.",10.4,8.4,12.4,author reported 2sigma,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),channel,C14,unlisted,11-130,5,35,"Williams (1998); Williams, written communication (2012)"
160,"Hayward (south, extension)",900,CA,approx centroid,S-0160,SR-0421,-121.742077434000,37.305695877200,127.81,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,QFFD
161,Hayward (south),901,CA,Masonic Home,S-0161,SR-0169,-122.005093130000,37.595858225000,162.16,N/A,slip rate study,,9.2,7.8,10.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan apex,C14,unlisted,1-11,5,35,Lienkaemper and Borchardt (1996)
162,Hector Mine,113,CA,approx centroid,S-0162,SR-1229,-116.311695033722,34.603063969909,0.3,MJVA-LLBM-MULT-Lavic_Lake_North_West_Bullion_fault-CFM3,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
163,Helendale - Lockhart (south),114,CA,per Oskin and others (2008),S-0163,SR-0105,-117.158810487000,34.647442855000,0.74,MJVA-HSLZ-MULT-Helendale_South_Lockhart_fault-CFM5,slip rate study,Maximum rate. Cosmogenic date on Q2b surface.,0.8,0.8,1.1,unknown,horizontal,"reported (author reported/recorded in Appendix B as maximum rate with uncertainty; pref reported value in Appendix B is preferred value here, with HighRate = highest possible maxmimum reported; LowRate = PrefRate)",offset alluvial fan,10Be,unlisted,11-130,0.2,1,Oskin and others (2008)
164,Hilton Creek,115,CA,Hilton Lakes,S-0164,SR-0106,-118.763000000000,37.506610000000,48.75,N/A,slip rate study,"Rate reported by Clarke and Gillespie (1993), age and offset values not reported.",,0.1,0.8,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,unlisted,unlisted,unlisted,1,5,Clarke and Gillespie (1993)
165,Hilton Creek,115,CA,McGee Creek MN1A,S-0165,SR-0107,-118.787907038000,37.562582707100,54.42,N/A,slip rate study,"Rate revised to the reported rate of Berry (1997), rather than Clarke and Gillespie (1993). Berry (1997) is preferred because data is presented. Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",,0.9,1.2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,Berry (1997)
166,Hilton Creek,115,CA,"McGee Creek ""Tahoe""",S-0166,SR-0108,-118.787907038000,37.562582707100,54.42,N/A,slip rate study,"Rate revised to the reported rate of Berry (1997), rather than Clarke and Gillespie (1993). Berry (1997) is preferred because data is presented. Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",,0.9,2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,Berry (1997); Clarke and Gillespie (1993)
167,Hilton Creek,115,CA,McGee Creek MN2A,S-0167,SR-0109,-118.787907038000,37.562582707100,54.42,N/A,slip rate study,"Rate revised to the reported rate of Berry (1997), rather than Clarke and Gillespie (1993). Berry (1997) is preferred because data is presented. Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",,1,1.3,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,Berry (1997)
168,Hilton Creek,115,CA,Tobacco Flat,S-0168,SR-0110,-118.814075303000,37.611936757200,59.84,N/A,slip rate study,"Rate reported by Clarke and Gillespie (1993), age and offset values not reported.",,1.1,2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,unlisted,unlisted,unlisted,1,5,Clarke and Gillespie (1993)
169,Hollywood,116,CA,Camino Palmero,S-0169,SR-0111,-118.350213523000,34.103598746900,0.22,WTRA-SFFS-LABS-Hollywood_fault-CFM5,slip rate study,"Offset is only vertical component. Dolan and others (1997) assume a 1:1 Hz to Vertical ratio and report a minimum 0.35+/- 0.2 mm/yr oblique slip rate, but they note the rate could be higher.",0.35,0.33,0.37,unknown,net,"reported (author reported rate as recorded in Appendix B, including reported min and max rates; authors note this rate may be a minimum)",thickness of basin filling deposits,unlisted,unlisted,750-2600,0.2,1,Dolan and others (1997)
170,Holser,117,CA,"Near Ramona Oil field, to Castaic Junction oil field.",S-0170,SR-0056,-118.701353116000,34.444828325800,0.49,WTRA-SCFZ-SCLV-Holser_fault-CFM2,slip rate study,"Stitt (1986) presents three crossections. Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field. The three crossections are within 6 km of each other. 450 m is assumed to be representative a",,0,1,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,Stitt (1986); Breyer and others (2009)
171,Holser,117,CA,"Near Ramona Oil field, to Castaic Junction oil field.",S-0171,SR-0057,-118.701353116000,34.444828325800,0.49,WTRA-SCFZ-SCLV-Holser_fault-CFM2,slip rate study,"Stitt (1986) presents three crossections. Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field. The three crossections are within 6 km of each other. 450 m is assumed to be representative a",,1,5,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,Stitt (1986); Breyer and others (2009)
172,Holser - San Gabriel (connector),118,CA,approx centroid,S-0172,SR-1249,-118.598214359541,34.439343270241,0.44,WTRA-SCFZ-SCLV-Holser_fault-CFM2,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
173,Homestead Valley,119,CA,approx centroid,S-0173,SR-1263,-116.433757742083,34.334397647917,0.04,MJVA-JVHZ-HMSV-Homestead_Valley_fault-CFM3,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
174,Honey Lake,120,CA,Long Valley Creek,S-0174,SR-0114,-120.119731246000,40.051666528300,349.29,N/A,slip rate study,offset fluvial terrace risers range from 6.6-28.3 m since 15.8 +/- 0.6 ka,1.6,1.3,1.9,95% CI reported by authors,projeted (strike-slip),reported min and max; prefered = midpoint between bounds on rate,T2/T1 riser,regional age corellation,unknown,15.8 +/- 0.6,1,5,"Gold et al., (2017) EPSL"
175,Honey Lake,120,CA,Honey Lake,S-0175,SR-0115,-120.122194860000,40.053722925900,349.59,N/A,slip rate study,"Minimum slip rate, both in terms of along strike location and use of radiocarbon. Also, this fault is parallel to the Warms Springs fault, about 7 km NW, which is geomorphically well expressed and may take up some unknown fraction of slip across a broad",1.7,1.1,2.3,unknown,horizontal,"reported (author reported rate as recorded in Appendix B, including reported min and max rates)",Offset channel/terrace riser,C14,unlisted,1-11,1,5,Turner and others (2008); Wills and Borchart (1993)
176,Hosgri,121,CA,San Simeon Terrace,S-0176,SR-0116,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994). The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line. Hanson",8.6,8.6,11.2,unknown,horizontal,"reported (author reported rate as recorded in Appendix B as a maximum rate, thus PrefRate = low end of rante = LowRate)",unlisted,unlisted,unlisted,unlisted,1,5,Hanson and Lettis (1994); Hall and others. (1994)
177,Hosgri,121,CA,Oso Terrace,S-0177,SR-0117,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994). The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line. Hanson",,0.7,2.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),unlisted,correlation (used sea level curves),unlisted,130-750,1,5,Hanson and Lettis (1994); Hall and others. (1994)
178,Hosgri,121,CA,Tripod Terrace,S-0178,SR-0118,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994). The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line. Hanson",,0.8,7.8,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),unlisted,unlisted,unlisted,unlisted,1,5,Hanson and Lettis (1994); Hall and others. (1994)
179,Hosgri,121,CA,Airport Creek,S-0179,SR-0119,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Both feature offset and age constraints are noted by authors as ""poorly constrained"".",,0.9,3.4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,C14,unlisted,1-11,1,5,Hall and others (1994)
180,Hosgri (extension),122,CA,approx centroid,S-0180,SR-1169,-120.702291866476,34.731566621215,1.6,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
181,Hunter Mountain - Saline Valley,123,CA,Nelson Range Front,S-0181,SR-0120,-117.675860396000,36.612934283600,0.94,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,slip rate study,"Authors interpretation of age of incision does not appear to be correct. They use the age of the Qf2 (10 - 128 ka) surface to constrain the slip rate. However, the surface below the riser (Qf1) is Holocene, and would have to be abandoned before slip co",,1.6,2,unknown,horizontal,reported (Appendix B has reinterpreted the age relationships and the reported rate here reflects those reinterpretations).,offset channel,See comments,unlisted,11-130,1,5,Oswald and Wesnousky (2002)
182,Hunter Mountain - Saline Valley,123,CA,n/a,S-0182,SR-0121,-117.644074462000,36.588092100800,1.1,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,slip rate study,"Slip rate assumes initiation of dextral slip is related to the onset of normal slip on the East Inyo fault zone to the north (in this case, the northern extension of the Hunter Mt - Saline Valley fault zone).",3.3,2.3,4.3,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),geologic contact,(U-Th)/He,unlisted,>2600,1,5,Lee and others (2009)
183,Hunter Mountain - Saline Valley,123,CA,Grapevine Canyon,S-0183,SR-0122,-117.553927742000,36.531253455200,0.34,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,slip rate study,"Assumed 15 ka age, based on correlation of climate change to channel incision. Rate is consistent with long term rate of Burchfiel and others. (1987).",,3.3,4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,correlation to assumed climate indicators,unlisted,11-130,1,5,Oswald and Wesnousky (2002)
184,Hunting Creek - Bartlett Springs (connector),124,CA,approx centroid,S-0184,SR-1152,-122.390426516147,38.849490624349,305.46,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
185,Hunting Creek - Berryessa,125,CA,approx centroid,S-0185,SR-0123,-122.279304380000,38.600907751500,276.45,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
186,Imperial,126,CA,US - Mexico Border,S-0186,SR-0124,-115.355380427000,32.676180841600,0.29,SALT-IMFZ-IMPV-Imperial_fault_Edip_Nend-CFM5,slip rate study,Only a one event slip rate. Slip rate appears to be nearly a full interval between earthquakes.,,15,20,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,correlation to lake highstand,1,<1,5,35,Thomas and Rockwell (1996)
187,Incline Village,1002,CA,per Dingler and others (2009),S-0187,SR-0191,-119.964099060000,39.234123851100,263.97,N/A,slip rate study,Similar to ~60 ka rate.,,0.12,0.23,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),paleoterrace,correlation,1?,11-130,0.2,1,Dingler and others (2009)
188,Incline Village,1002,CA,per Dingler and others (2009),S-0188,SR-0192,-119.964099060000,39.234123851100,263.97,N/A,slip rate study,Similar to ~19 ka rate.,,0.18,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),boulder surface,correlation/ C14,unlisted,11-130,0.2,1,Dingler and others (2009)
189,Incline Village,1002,NV,approx in Incline Village,S-0189,SR-0193,-119.962801976000,39.250930839100,265.47,N/A,slip rate study,8.2 m of vertical separation in surface less than 35-12 ky old,0.35,0.23,0.68,unknown,unprojected (vertical),reinterpreted (low = 8.2 m/35 ka; high = 8.2m/12ka; pref = 8.2m/23.5 ka),scarp height,relative/regional correlation?,unlisted,12-35,0.2,1,Lewis and Grose (1988) AGU abstract; Qfaults page
190,Independence,127,CA,Independence Creek,S-0190,SR-0125,-118.305413403000,36.783974091600,0.02,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,"Slip and age data from Clark and others (1984), vertical slip rates calculated by compiler.",,0.05,0.12,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from data),moraine,correlation,?,11-130,0.2,1,Clark and others (1984)
191,Independence,127,CA,Independence Creek,S-0191,SR-0126,-118.307150603000,36.789303587500,0.02,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,"Slip and age data from Clark and others (1984), vertical slip rates calculated by compiler.",,0.07,0.16,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from data),glacial outwash,correlation,2?,11-130,0,0.2,Clark and others (1984)
192,Independence,127,CA,Independence Creek,S-0192,SR-0127,-118.306529190000,36.787397262700,0.03,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,"Slip and age data from Clark and others (1984), vertical slip rates calculated by compiler.",,0.08,0.19,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from data),glacial outwash,correlation,1?,11-130,0,0.2,Clark and others (1984)
193,Independence,127,CA,Symmes Creek,S-0193,SR-0128,-118.276041151000,36.731511374500,0.11,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,Representative site of study by Le and others (2007) along the fault. They report similar vertical slip rates for other surfaces along this fault zone over different time periods. Their preferred vertical slip rate is 0.2 - 0.3 mm/yr for all of these t,,0.2,0.4,unknown,unprojected (vertilcal),reported (only range listed in Appendix B; no pref rate included),fan surface,10Be,unlisted,11-130,0.2,1,Le and others (2007)
194,Independence (north),320,CA,approx centroid,S-0194,SR-1166,-118.356405872901,37.121462454960,6.6,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
195,Inks Creek - Hooker Dome,321,CA,wind gap,S-0195,SR-0779,-122.178054003000,40.319041558200,464.14,N/A,slip rate study,T3 terrace elevation differences to determine uplift where anticline crosses Sacramento River; 4.8 +/- 0.5 m of T3 elevation difference since 27.7 +/- 9.3 ka,0.2,0.1,0.3,unknown,unprojected (vertical),reported,T3 elevation difference,luminescence,unknown,27.7 +/- 9.3,0,0.2,"Angster et al., (2020) Geology"
196,Jess Valley,128,CA,approx centroid,S-0196,SR-0129,-120.321273870000,41.204353675000,472.98,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
197,Johnson Valley (north),129,CA,approx centroid,S-0197,SR-1182,-116.514474952050,34.381217528715,0.13,MJVA-JVHZ-MULT-Johnson_Valley_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
198,Joshua Tree (seismicity),130,CA,approx centroid,S-0198,SR-0130,-116.318928323000,34.008449704700,0.16,ETRA-LSBM-1992-Joshua_Tree_sequence-CFM6,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
199,Keddie Ridge,131,CA,approx centroid,S-0199,SR-0131,-120.961778977000,40.191372847700,400.14,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
200,Kern Canyon (Lake Isabella),132,CA,Isabella Auxiliary Dam,S-0200,SR-0132,-118.474715312000,35.639986255600,0.03,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,"No offset data reported, just slip rate.",,0.1,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,Lutz and others (2010)
201,Kern Canyon (north),133,CA,Soda Spring,S-0201,SR-0133,-118.413542849000,36.345009851500,0.47,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,Additional slip may be on a another strand to the west. No info about number of events could make the reported rate poorly-constrained.,,0.1,0.2,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,Amos and others (2010)
202,Kern Canyon (south),134,CA,Rincon Spring,S-0202,SR-0134,-118.449106003000,36.057731378200,0.05,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,"No offset data reported, just slip rate. Rate is similar to 5 ky rate.",,0.2,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,"Kelson (written communication, 2012)"
203,Kickapoo,135,CA,approx centroid,S-0203,SR-1183,-116.452382493333,34.336081241250,0.06,MJVA-JVHZ-SJVS-Kickapoo_fault-CFM3,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
204,King Range,136,CA,approx centroid,S-0204,SR-0135,-124.119636195000,40.163030115200,493.56,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
205,La Panza,137,CA,approx centroid,S-0205,SR-0136,-120.255026775000,35.265818004500,0.23,CRFA-LPNZ-MULT-La_Panza_fault-CFM4,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
206,Laguna Salada,138,CA,approx centroid,S-0206,SR-1260,-115.537917162791,32.399846830233,0.67,PNRA-ELSZ-SRCP-Sierra_Cucapah_fault-CFM4,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
207,Lake Isabella (seismicity),139,CA,approx centroid,S-0207,SR-1159,-118.360659975147,35.737875039350,0.2,GVFA-KRCS-LISA-Lake_Isabella_lineament-CFM2,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
208,Lake Peak,322,CA,approx centroid,S-0208,SR-0786,-116.826478779000,34.112839586400,3.88,ETRA-BBFS-1992-Big_Bear_rupture-CFM6,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
209,Las Positas,140,CA,approx centroid,S-0209,SR-0137,-121.748651373000,37.649132504800,166,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
210,Last Chance,141,CA,approx centroid,S-0210,SR-0138,-120.074318571000,39.766563673800,319.51,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
211,Lausuen Knoll,323,CA,approx centroid,S-0211,SR-1194,-117.918772036703,33.418044019317,10.17,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
212,Lenwood - Lockhart - Old Woman Springs,142,CA,Northern site,S-0212,SR-0139,-116.991561793000,34.800402356300,0.82,MJVA-LWLZ-MULT-Lenwood_Lockhart_fault-CFM5,slip rate study,"Two sites, located 11 km apart. However, southern site is considered by Oskin and others (2008) to be less well-constrained. However, the southern site reported rate of 1.2+/- 0.2 mm/yr, which is consistent with the northern site rate.",0.8,0.6,1,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset fan,10Be,unlisted,11-130,0.2,1,Oskin and others (2008)
213,Likely,143,CA,approx centroid,S-0213,SR-0140,-120.588444347000,41.206107935400,482.05,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
214,Lions Head,144,CA,per Clark (1990),S-0214,SR-0141,-120.589065765000,34.855480017600,0.13,CRFA-LNHZ-MULT-Lions_Head_fault-CFM4,slip rate study,"Poorly constrained rate based on offset marine terraces (Clark, 1990). Unclear how Clark obtains his rate, but 0.012 mm/yr looks reasonable based on the reported ages and offset.",,0.012,0.017,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),marine terrace,correlation,?,130-750,0,0.2,Clark (1990)
215,Little Lake,145,CA,Little Lake Narrows,S-0215,SR-0142,-117.897610007000,35.920234764200,0.48,SNFA-LLFZ-CNTR-Little_Lake_fault-CFM5,slip rate study,140-250m of dextral displacement since 212+/-14ka (eruption of Qb1 flow) to 197 +/- 11ka (inundatation of Qb2 in Owens River channel),0.7,0.7,1.3,unknown,projected (right-lateral),reported (low = pref),offset terrace riser,Ar/Ar,unlisted,197 +/- 11 - 212 +/- 14,1,5,"Amos et al., (2013) GSAB"
216,Little Salmon (offshore),146,CA,approx centroid,S-0216,SR-0143,-124.428808476000,40.886643695800,577.67,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
217,Little Salmon (onshore),147,CA,"Sites 5, 6, 7",S-0217,SR-0144,-124.184924566000,40.661442090700,546.19,N/A,slip rate study,McCrory notes the long term rate is similar to the late Holocene rate from trenching studies and this rate probably captures the entire fault zone. Rate is composite of 3 sites.,2.3,1.8,2.8,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,750-2600,1,5,"McCrory (1996, 2000)"
