X,Y,SlipRateID,FaultID,FaultName,State,SiteName,DataType,Observn,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,x2014dip,x2014rake,x2014rate,Reference,AppB
-118.648712687,37.403066647,SR-0253,235,Round Valley,CA,Pine Creek PC-2A,slip rate study,Presented by Berry (1997) as alternative rate to PC-2B.,,0.5,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,50,90,0.6,Berry (1997),yes
-118.648712687,37.403066647,SR-0254,235,Round Valley,CA,Pine Creek PC-2B,slip rate study,Presented by Berry (1997) as alternative rate to PC-2A.,,0.5,0.8,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,50,90,0.6,Berry (1997),yes
-118.648712687,37.403066647,SR-0255,235,Round Valley,CA,Pine Creek PC-1B,slip rate study,Presented by Berry (1997) as alternative rate to PC-1A.,,0.6,1,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,50,90,0.6,Berry (1997),yes
-124.375792801,40.5270808979,SR-0256,236,Russ,CA,n/a,slip rate study,Based on offset marine terrace.,0.2,0.2,1,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B; no uncertainty included),unlisted,marine terrace correlation,unlisted,11-130,0.2,1,71,135,0.27,McCrory (1996; 2000),yes
-119.134152164,34.4422808923,SR-0258,237,San Cayetano,CA,Sisar Creek,slip rate study,"Small total offset suggests a limited number of events (or missing slip?).  Offset age based on soil development, this could be improved if there are new radiometric age estimates.  Reported rate assumes 45 degree dipping fault.",1.05,1.03,1.07,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),alluvial surface,soil development,unlisted,11-130,5,35,42,90,6,Rockwell (1988),yes
-119.123616615,34.4390265976,SR-0259,237,San Cayetano,CA,Bear Canyon,slip rate study,"Small total offset suggests a limited number of events (or missing slip?).  Offset age based on soil development, this could be improved if there are new radiometric age estimates.  Reported rate assumes 45 degree dipping fault.",1.35,0.95,1.75,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),Q4 surface,soil development,unlisted,1-11,5,35,42,90,6,Rockwell (1988),yes
-119.013631366,34.42202344,SR-0260,237,San Cayetano,CA,Timber Canyon,slip rate study,,8.7,6.8,10.6,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),correlation/cross section,soil development?,unlisted,130-750,5,35,42,90,6,Rockwell (1988),yes
-119.013631366,34.42202344,SR-0261,237,San Cayetano,CA,Timber Canyon,slip rate study,,3.6,3.2,4,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B; pref rate listed as a minimum),alluvial surface,soil development,unlisted,1-11,5,35,42,90,6,Rockwell (1988),yes
-119.038563453,34.4234659113,SR-0262,237,San Cayetano,CA,Mud Creek,slip rate study,"Most of the uncertainty comes from the dating constraints, surface could be either Q5a (15 - 20 ka) or Q4 (8 - 12 ka).",2.35,1.8,2.8,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B; two rates listed given large uncertainty in age control; currently include the slower of the two rates as this agrees with above,Q5 or Q4 surface,soil development,unlisted,11-130,5,35,42,90,6,Rockwell (1988),yes
-118.230224092,32.7435264312,SR-0263,238,San Clemente,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,88,180,1.8,QFFD,no
-118.136392037,33.3509053387,SR-0264,239,San Diego Trough (north),CA,San Gabriel Channel,slip rate study,"Full reported range takes into account feature and dating uncertainties, as well as the uncertainty there may be addition secondary strands that carry some of the total rate.",1.5,1.2,1.8,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),submarine channel wall,"C14, sed rate",unlisted,1-11,1,5,90,180,1.5,Ryan and others (2012),yes
-116.801566826,33.9531378459,SR-0265,701,San Andreas (San Gorgonio Pass - Garnet Hill),CA,Millard Canyon,slip rate study,"composite scarp heights combined across two fault strands coupled with 10Be dating yieldl; scarp heights coverted to net slip-31 +/- 3.5 m total on Qt4, 8.6 +2/-2.2 ka (depth profile)",4,1.9,5.3,95% CI (reported by authors; Monte Carlo approach),projected,reported (authors report median value of Monte Carlo resampling as preferred),scarp heights,10Be,at least 5 (?),8.6 +2/-2.2,5,35,60,90,1.8,Heermance and Yule (2017) GRL,no
-122.512843103,37.5204783873,SR-0266,245,San Gregorio (north),CA,Seal Cove,slip rate study,Minimum rate due to other offshore strands which are not accounted for.  Simpson and others (1997) infer the total slip rate is at least 6 mm/yr (reported here as a minimum value).,4.5,3.5,35,unknown,horizontal,"reported (rate reported as a minimum range, so smaller of those values = LowRate and large = PrefRate)",paleochannel,"paleontology on shells, correlation",unlisted,11-130,5,35,90,180,7,Simpson and others (1997),yes
-122.29397786,37.1285890172,SR-0267,245,San Gregorio (north),CA,Ano Nuevo,slip rate study,"Large feature uncertainties due to issues with correlation with piercing lines (Bryant and Cluett, 1999).",,3,9,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),marine terraces,unlisted,unlisted,11-130,5,35,90,180,7,Weber (1995),yes
-121.983838062,36.4864232296,SR-0268,246,San Gregorio (south),CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,75,180,3,QFFD,no
-117.776133334,33.6659258401,SR-0269,247,San Joaquin Hills,CA,per Grant and others (1999),slip rate study,"Grant and others (1999) report are slip rate of 0.42 - 0.79 mm/yr, based on a model that uses a 20 - 30 degree dipping fault.",,0.42,0.79,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine terrace,230Th,unlisted,11-130,0.2,1,23,90,0.6,Grant and others (1999),yes
-117.804298521,34.0621528276,SR-0270,248,San Jose,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,74,30,0.39,QFFD,no
-120.755899270858,35.1729522036338,SR-0271,250,San Luis Bay,CA,Avila Beach,slip rate study,Lettis and others (1994) report a net slip rate of 0.04 - 0.11 mm/yr based on a fault dip of 40 - 70 degrees.,,0.04,0.11,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine terrace,correlation,unlisted,11-130,0,0.2,90,90,0.1,Lettis and others (1994),yes
-120.588470985,35.0718053123,SR-0272,251,San Luis Range (Oceano),CA,Nipomo Mesa,slip rate study,Reported net slip rate assumes 10 - 65 degree dip.,,0.05,0.18,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine deposits,geologic,unlisted,750-2600,0,0.2,45,90,0.1,Lettis and others (1994),yes
-118.563978115,33.7073593882,SR-0273,255,San Pedro Basin,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,88,180,1.5,QFFD,no
-119.209170075,33.7939092654,SR-0274,341,Santa Cruz - San Clemente,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,135,1,QFFD,no
-118.744350602,33.4282818786,SR-0275,312,Catalina,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,135,1,QFFD,no
-119.869456772,34.0306493436,SR-0276,260,Santa Cruz Island,CA,Christi Beach,slip rate study,"Christi Beach, see other entry for horizontal component",,0.1,0.2,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine terrace,correlation,unlisted,11-130,0.2,1,90,30,0.9,Pinter and others (1991),yes
-119.869456772,34.0306493436,SR-0277,260,Santa Cruz Island,CA,Christi Beach,slip rate study,"Christi Beach, well-constrained long term geologic rate see other entry for vertical component",,0.7,1.1,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),marine terrace,correlation,unlisted,130-750,0.2,1,90,30,0.9,Pinter and others (1991),yes
-118.850989157,33.8203772578,SR-0278,261,Santa Monica Bay,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,20,90,0.01,QFFD,no
-118.572997272,34.3054604838,SR-0279,266,Santa Susana,CA,per Huftile and Yeats (1996),slip rate study,"Huftile and Yeats (1996) use a cross section to estimate total dip slip displacement along the fault.  They give two alternatives for the total displacement, which is very dependant on projections into space of hanging wall deformation.",,2.1,9.8,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),stratigraphic,correlation,unlisted,750-2600,0.2,1,55,30,6,Huftile and Yeats (1996),yes
-119.595351489,34.4937222876,SR-0280,268,Santa Ynez (east),CA,Blue Canyon,slip rate study,"Combined slip rate across two strands reported by Keaton (1979), summed net slip, with preferred age of 100 ka (no reason given) rate as reported by Clark and others (1984).  Poorly-constrained.",,0.15,10.1,unknown,net,reported (only range listed in Appendix B no preferred rate included),channels and terrace,inferred,unlisted,11-750,0.2,1,70,0,2,Keaton (1979),yes
-121.535809461,36.9227719361,SR-0281,271,Sargent,CA,per Nolan and others (1995),slip rate study,"Poorly-constrained rate based on vertical offset of deposits, and assumptions of Hz:V.  Considered by authors as a minimum rate.",,1,5,unknown,unknown,reported (only preferred value listed in Appendix B; no uncertainty included; rate reported as a minimum),offset alluvium,unlisted,unlisted,unlisted,1,5,90,180,3,Nolan and others (1995).  NSHM (1996),yes
-115.684207087,34.189297471,SR-0282,273,Sheephole,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,180,0.01,QFFD,no
-117.799136191,34.1307492941,SR-0283,275,Sierra Madre,CA,San Dimas,slip rate study,"Minimum rate, due to erosion of correlative unit from the hanging wall.  Minimum rate reported includes open interval to present.  Maximum based on closed 8 - 24 ka interval.",,0.6,0.9,unknown,unprojected (vertical),reported (only range listed in Appendix B; no pref rate included; rate reported as a minimum),stratigraphic,unlisted,unlisted,11-130,1,5,53,90,2,Tucker and Dolan (2001),yes
-118.165533899,34.2060820957,SR-0284,275,Sierra Madre,CA,Arroyo Seco,slip rate study,offset terrace vertical separation measurement of Q3.3 = 27.9 +2.5/-2.1 along profile C-C' with terrace abandonment dated at 53.4 +14.5/-21.3 ka,0.52,0.28,0.77,unknown for recalculted rates,unprojected (vertical),authors report prrojected vertical rates with intensive uncertainty treatment; reinterpreted rates = unrpojected (min = 25.4 m/92.3 ka; max = 30m/38.9 ka; pref = 27.9/53.4),terrace vertical separation,10Be and luminescence,unknown,53.4 +21.3/-14.5,1,5,53,90,2,"Burgette et al., (2020) EPSL",no
-118.18753659,34.2104459489,SR-0285,275,Sierra Madre,CA,Gould Mesa,slip rate study,Poorly constrained feature offset (based on boreholes and x-sections) and dating constraint (soil correlation).  Total vertical slip of 600 m reported by Clark and others (1984) used here.,,1.2,3,unknown,unprojected (vertilcal),reported (only range listed in Appendix B; no pref rate included),fan,soil development,unlisted,130-750,1,5,53,90,2,Crook and others (1987),yes
-118.232873736,34.2386366009,SR-0286,275,Sierra Madre,CA,Pickens Canyon,slip rate study,vertical separation of terraces in Q3.2 are 18.4 m +2.1/-2.9 m dated at 22 +7.3/-7.9 ka; authors also calculated projected slip but vertical separation is recorded here,0.56,0.27,0.82,unknown for recalculted rates,unprojected (vertical),authors report projected vertical rates with intensive uncertainty treatment; reinterpreted rates = unprojected (min = 15.5 m/58.1 ka; max = 20.5m/58.1 ka; pref = 18.4m/33 ka),vertical separation of terrace,10Be and luminescence,unknown,23 +7.3/7.9,1,5,53,90,2,"Burgette et al., (2020) EPSL",no
-118.25352806,34.2462242733,SR-0288,275,Sierra Madre,CA,Dunsmore Canyon,slip rate study,"Unknown number of events and relatively small total offset suggests rate may not be a reliable average slip rate, although rate is within range of longer term rate at Gould Mesa",,0.6,3,unknown,unprojected (vertilcal),reported (only range listed in Appendix B; no pref rate included),fan,soil development,unlisted,1-11,1,5,53,90,2,Crook and others (1987),yes
-121.831471778,37.3221051085,SR-0289,279,Silver Creek,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,75,180,0.1,QFFD,no
-119.082413273,34.22464134,SR-0290,280,Simi - Santa Rosa,CA,Springville,slip rate study,"It is unclear whether the Springville fault is related to the Simi-Santa Rosa fault zone, as the authors report the fault may root into the Oak Ridge fault and may not be independently seismogenic.  Also, the location of the site is at the western end of",,0.5,0.9,unknown,unprojected (vertilcal),reported (only range listed in Appendix B; no pref rate included),colluvium,soil development,unlisted,11-130,0.2,1,60,30,0.7,Gonzales and Rockwell (1991),yes
-121.032907758,40.1123349211,SR-0291,282,Skinner Flat,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,45,0.01,QFFD,no
-115.698413229,32.9268673556,SR-0292,283,Superstition Hills,CA,Imler Road,slip rate study,"One interval rate.  Reported maximum rate is probably too high, because the PEN event age is unknown and could be any time between AD 1660 and 1915.  Minimum rate reported here is based on 1.2 m of slip in past 330 years.  Rate probably does not represen",,2,6,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),beach deposits,correlation to lake highstand,2,<1,1,5,90,180,4,Hudnut and others (1989),yes
-120.184672389,41.5684160571,SR-0293,284,Surprise Valley,CA,per Personius and others (2009),slip rate study,"The preferred reported rate compares well to both the 4 interval rate, calculated separately, and a long term Miocene rate.",0.6,0.5,0.7,unknown,unprojected (vertilcal),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic,C14,>4,11-130,0.2,1,50,90,0.7,Personius and others (2009),yes
-121.276852813,39.0935806751,SR-0294,285,Swain Ravine - Spenceville,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,60,90,0.01,QFFD,no
-124.24063144,40.6765064757,SR-0295,286,Table Bluff,CA,"TB3, TB4, TB6",slip rate study,Reported rate is vertical separation.  Net rate reported by McCrory is 0.5 mm/yr.  Rate is similar to Late Pleistocene rate of 0.4 mm/yr reported by McCrory (1996),0.5,0.3,0.5,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic,unlisted,unlisted,750-2600,0.2,1,45,90,0.6,McCrory (1996),yes
-124.274298131,40.6923727389,SR-0296,286,Table Bluff,CA,per McCrory (1996),slip rate study,Late Quaternary rate.,0.4,0.2,1,unknown,projected (dip-slip),reported (only preferred value listed in Appendix B; no uncertainty included),marine terrace,TL,unlisted,130-750,0.2,1,45,90,0.6,McCrory (1996),yes
-124.457850891,40.6978353908,SR-0297,286,Table Bluff,CA,TB7,slip rate study,"Reported rate is vertical separation.  Net rate is 1.9 mm/yr, assuming a 45 degree dip.  McCrory notes the offshore rate is likely the combined TB and LSF rates.",0.75,0.63,0.94,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic,unlisted,unlisted,750-2600,0.2,1,45,90,0.6,McCrory (1996),yes
-117.226304493,35.7314971308,SR-0298,287,Tank Canyon,CA,Searles Valley,slip rate study,"Small offset and short time interval suggests only one or two events, slip rate may not be representative of long term average, but only rate available.  Measurement on displaced Holocene alluvial fan that overlies Lake Searles lake deposits.",1,0.5,1.6,unknown,net,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),alluvial fan,inferred,unlisted,1-11,0.2,1,50,90,1,Clark and others (1984),yes
-117.489371568,36.8631908535,SR-0300,289,Tin Mountain,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,50,90,0.01,QFFD,no
-117.24221382,36.4309806183,SR-0301,290,Towne Pass,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,50,90,0.01,QFFD,no
-124.075289533,41.014830042,SR-0302,291,Trinidad,CA,site 20,slip rate study,Reported net slip assumes 40 degree dip.,0.9,0.7,1.1,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic marker,correlation,unlisted,750-2600,1,5,35,90,1.5,"McCrory (2000, 1996)",yes
-124.08550577,41.0220066212,SR-0303,291,Trinidad,CA,Trinidad anticline,slip rate study,Rate calculated for Trinidad anticline.  Assumes 35 degree dip.,,2.1,2.3,unknown,projected (dip-slip),reported (only range listed in Appendix B; no pref rate included),marine terrace,unlisted,unlisted,unlisted,1,5,35,90,1.5,"McCrory (2000, 1996)",yes
-124.134851142,41.0649286772,SR-0304,291,Trinidad,CA,sites 21 and 24,slip rate study,"Noted by McCrory as a partial rate, because this doesn't take into account the Trinidad anticline. Reported slip rate for 40 - 45 degree dipping fault.",0.4,0.4,0.44,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B; no uncertainty included),marine terrace,correlation,unlisted,11-130,1,5,35,90,1.5,"McCrory (2000, 1996)",yes
-124.256701255,41.1924020934,SR-0305,291,Trinidad,CA,site 26,slip rate study,Offshore vertical separation rate reported by McCrory (2000) is noted to about half of the onshore rate.,0.7,0.6,0.8,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),seismic basement,unlisted,unlisted,unlisted,1,5,35,90,1.5,"McCrory (2000, 1996)",yes
-119.307580071,34.2834513138,SR-0306,333,Pitas Point,CA,Pitas Point,slip rate study,320 m of uplifted marine terraces since 45-50 ka (Lajoie et al 1979); 4 events since c. 6.7 ka,6.7,6,7,unknown,unprojected (vertical),reported range; pref = 340m/47.5 ka (average age),marine teraces,relative,multiple,45-50,0.2,1,64,60,1.6,"Rockwell et al., (2017) BSSA",no
-121.067425738,40.3588429953,SR-0307,294,Walker Spring,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,90,0.01,QFFD,no
-120.0690246,38.9394267521,SR-0308,296,West Tahoe,CA,Cascade Lake,slip rate study,vertical displacement mesured across Tioga and Tahoe morraines dated with 10Be. Tahoe rate reported here; authors also calculate projected rates but vertical (unprojected) is reported here,0.5,0.37,0.63,unknown,unprojected (vertical),reported,morraine,10 Be,unknown,120 +/- 8.3,0.2,1,50,90,0.6,"Pierce et al., (2017) Geomorphology",no
-120.090721599,39.0153615409,SR-0309,296,West Tahoe,CA,per Dingler and others (2009),slip rate study,Vertical separation rate,,0.43,0.81,unknown,unprojected (vertical),reported (only range listed in Appendix B; no pref rate included),stratigraphic marker,C14,unlisted,11-130,0.2,1,50,90,0.6,Dingler and others (2009),yes
-118.332083751,37.4996646424,SR-0310,297,White Mountains,CA,Estates,slip rate study,offsets in alluvial fans; two generations of fans  older fan dated at 46.6 +11/-10 ka with 65 +/- 13 m of right lateral displacement ; younger fan is 7.3 +4.2/-4.5 ka with 14 +/- 5m RL displacement; rate is reported average of both observations,1.4,0.9,3.25,unknown,lateral,reinterpreted (average older fan age and displacement to the origin; low = 52m/57 ka; high = 117m/36ka; pref = 65m/46 ka),lateral,10Be,unknown,46.6 +11/-10,0.2,1,90,180,0.7,"Lifton et al., (2020) GSAB",no
-118.328326907,37.4764861733,SR-0311,297,White Mountains,CA,Gunter Creek,slip rate study,"Vertical separation of Bishop ash, reconstructed from mapping and well data.  Used in the calculation for their long term (760 ka) net slip rate value",,0.2,0.3,unknown,unprojected (vertical),reported (only range listed in Appendix B; no pref rate included),stratigraphic marker,correlation,unlisted,130-750,0.2,1,90,180,0.7,Kirby and others (2006),yes
-118.349755431,37.58101559,SR-0312,297,White Mountains,CA,Sabies Canyon,slip rate study,Horizontal rate based on offset debris flow levee.  Small offset with little constraint on how many earthquakes produced the offset.,,0.3,0.4,unknown,horizontal,reported (only range listed in Appendix B; no pref rate included),stratigraphic marker,unlisted,unlisted,11-130,0.2,1,90,180,0.7,Kirby and others (2006),yes
-118.349755431,37.58101559,SR-0313,297,White Mountains,CA,Composite slip rate (70 ka),slip rate study,"Kirby and others (2006) net composite rate for Late Pleistocene, argue for slower L Pleistocene rates than the 760 ka rate.  However, the lateral component is not from the same time interval as the normal (extensional) component and may not provide a 1:1",,0.37,0.57,unknown,net,reported (only range listed in Appendix B; no pref rate included),unlisted,unlisted,unlisted,11-130,0.2,1,90,180,0.7,Kirby and others (2006),yes
-118.294660615,37.3395450153,SR-0314,297,White Mountains,CA,Redding Canyon,slip rate study,"Shutter ridge offset based on clast provenance, considered a minimum offset by Kirby and others. Used in the calculation for their long term (760 ka) net slip rate value",0.8,0.7,1,unknown,horizontal,reported (only range listed in Appendix B; no pref rate included;; reported range as minimum),clast provenance,correlation,unlisted,130-750,0.2,1,90,180,0.7,Kirby and others (2006),yes
-118.294660615,37.3395450153,SR-0315,297,White Mountains,CA,Gunter/Redding composite slip rate (760 ka),slip rate study,Composite long term (760) rate calculated from the Gunter and Redding Canyon sites.  Kirby and others (2006) argue the long term rates are faster than the short term (70 ka) rates.,,0.9,1,unknown,horizontal,"reported (only one minimum value of slip rate is reported, so this is entered as LowRate)",unlisted,unlisted,unlisted,130-750,0.2,1,90,180,0.7,Kirby and others (2006),yes
-118.311531285,37.4039306638,SR-0316,297,White Mountains,CA,Silver Canyon,slip rate study,"Vertical separation rates calculated from data presented by Kirby and others (2006) (Mostly Figure 5, because they only report extension rates).",,0.2,0.3,unknown,unprojected (vertical),reported (only range listed in Appendix B; no pref rate included),stratigraphic marker,unlisted,unlisted,11-130,0.2,1,90,180,0.7,Kirby and others (2006),yes
-118.738104889,35.2074361962,SR-0318,298,White Wolf,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,75,60,0.39,QFFD,no
-121.658741194,36.8604249369,SR-0319,304,Zayante - Vergeles,CA,Elkhorn Valley,slip rate study,"Poorly-constrained slip rate.  Small offset suggests a limited number of events, and the dating constraints are based on soil development correlated to other surfaces.  Other slip rates in Coppersmith (1979) and Clark and others (1984) are reported in th",0.1,0.04,0.6,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fluvial terrace,correlation (soil development),1 - 2?,11-130,0.2,1,30,150,0.1,Coppersmith (1979),yes
-116.185460715,33.7380688086,SR-0320,700,San Andreas (Coachella),CA,Indio,slip rate study,"Poorly documented, 3 interval, short term slip rate. Williams and Sieh (1990) also report a 34 mm/yr slip rate, based on 1.05 m of slip during the past 308 years, but this appears to be mostly a creep rate and probably shouldn't be used.",30,5,35,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included),offset marker beds,C14,4,<1,5,35,90,180,20,Sieh (1986),yes
-116.620689016,33.9424201977,SR-0321,715,San Andreas (Banning),CA,Painted Springs,slip rate study,offset alluvial fan Qfr 22-28 m preferred (total range = 20-30 m) of fan dated with 10Be and U-series with combined age of 6.4 +3.7/-2.1 ka,3.9,2.3,6.2,unknown,lateral,reported,alluvial fan,10Be + Useries,unknown,6.4 +3.7/2.1,5,35,58,180,10,"Gold et al., (2015) JSG",no
-117.424154148,34.2545101866,SR-0322,703,"San Andreas (San Bernardino, north)",CA,Pitman Canyon,slip rate study,"AAPG abstract, manuscript in review.  No reported offset value or uncertainties on timing.  10Be date.",,13,28,unknown,horizontal,reported (only rane value listed in Appendix B; preferred value listed as range),landslide,10Be,unlisted,11-130,5,35,90,180,19,McGill and others (2010),yes
-117.458538044,34.2743966271,SR-0323,703,"San Andreas (San Bernardino, north)",CA,Cajon Pass,slip rate study,Weldon and Sieh (1985) Case 2 offset.,23,21,28,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,C14,unlisted,11-130,5,35,90,180,19,Weldon and Sieh (1985),yes
-117.458538044,34.2743966271,SR-0324,703,"San Andreas (San Bernardino, north)",CA,Cajon Pass,slip rate study,Weldon and Sieh (1985) Case 3 offset.,24,19,30,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),terrace riser,C14,unlisted,1-11,5,35,90,180,19,Weldon and Sieh (1985),yes
-117.458538044,34.2743966271,SR-0325,703,"San Andreas (San Bernardino, north)",CA,Cajon Pass,slip rate study,Weldon and Sieh (1985) Case 4 offset.,25,21,31,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,C14,unlisted,1-11,5,35,90,180,19,Weldon and Sieh (1985),yes
-117.458538044,34.2743966271,SR-0326,703,"San Andreas (San Bernardino, north)",CA,Cajon Pass,slip rate study,Weldon and Sieh (1985) Case 1 offset.,24,20,28,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,C14,unlisted,11-130,5,35,90,180,19,Weldon and Sieh (1985),yes
